sloka	pada	english	verb_part
1.15.7	प्रीतेन	by the well pleased	[('pleased', 'VBD')]
1.14.53	प्रीतेषु	(सत्सु) were highly pleased	[('were', 'VBD')]
2.3.21	प्रीतौ	being satisfied	[('being', 'VBG'), ('satisfied', 'VBD')]
1.44.21	प्रीयन्ते	will be pleased.	[('be', 'VB')]
1.44.21	प्रीयन्ते	would be pleased	[('be', 'VB')]
1.2.39	प्रीयमाणाः	being delighted	[('being', 'VBG'), ('delighted', 'VBN')]
1.52.11	प्रीयेताम्	were pleased.	[('were', 'VBD')]
2.54.24	प्रेक्षकः	in order to see	[('see', 'VB')]
3.15.22	प्रेक्षणीयम्	worthy of looking	[('looking', 'VBG')]
4.48.10	प्रेक्षणीयाः	beautiful to look	[('look', 'VB')]
5.10.13	प्रेक्षते स्म	glanced once again.	[('glanced', 'VBN')]
2.96.12	प्रेक्षमाणः	seeing	[('seeing', 'VBG')]
2.71.3	प्रेक्षमाणः	observing	[('observing', 'VBG')]
2.96.11	प्रेक्षमाणः	seeing	[('seeing', 'VBG')]
5.36.4	प्रेक्षमाणा	gazing	[('gazing', 'VBG')]
4.64.8	प्रेक्षय	seeing	[('seeing', 'VBG')]
3.27.9	प्रेक्षय	observing	[('observing', 'VBG')]
2.103.25	प्रेक्ष्य	on seeing	[('seeing', 'VBG')]
2.33.30	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
2.105.14	प्रेक्ष्य	seeing	[('seeing', 'VBG')]
2.33.31	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
2.65.29	प्रेक्ष्य	on seeing	[('seeing', 'VBG')]
2.102.13	प्रेक्ष्य	on seeing	[('seeing', 'VBG')]
2.71.45	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
2.54.24	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
2.12.71	प्रेक्ष्य	on seeing	[('seeing', 'VBG')]
2.40.37	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
1.60.34	प्रेक्ष्य	seeing	[('seeing', 'VBG')]
2.111.15	प्रेक्ष्य	seeing	[('seeing', 'VBG')]
2.64.11	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
3.49.8	प्रेक्ष्य	seeing	[('seeing', 'VBG')]
5.1.86	प्रेक्ष्य	observing	[('observing', 'VBG')]
2.66.1	प्रेक्ष्य	on seeing	[('seeing', 'VBG')]
3.46.10	प्रेक्ष्य	after seeing	[('seeing', 'VBG')]
2.82.4	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
2.55.5	प्रेक्ष्य	finding	[('finding', 'VBG')]
5.17.30	प्रेक्ष्य	on observing	[('observing', 'VBG')]
2.37.15	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
2.55.2	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
2.92.2	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
5.13.8	प्रेक्ष्य	on seeing	[('seeing', 'VBG')]
3.71.4	प्रेक्ष्य	seeing me	[('seeing', 'VBG')]
2.43.11	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
2.81.8	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
3.4.9	प्रेक्ष्य	after seeing	[('seeing', 'VBG')]
2.111.32	प्रेक्ष्य	witnessing	[('witnessing', 'VBG')]
3.68.19	प्रेक्ष्य	seeing	[('seeing', 'VBG')]
3.4.29	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
2.99.39	प्रेक्ष्य	on seeing	[('seeing', 'VBG')]
2.75.9	प्रेक्ष्य	having seen	[('having', 'VBG'), ('seen', 'VBN')]
3.67.29	प्रेक्ष्य	seeing	[('seeing', 'VBG')]
2.111.19	प्रेक्ष्य	looking	[('looking', 'VBG')]
1.1.65	प्रेक्ष्य	having looked	[('having', 'VBG'), ('looked', 'VBD')]
3.5.21	प्रेक्ष्य	seeing	[('seeing', 'VBG')]
5.35.70	प्रेक्ष्य	after looking at	[('looking', 'VBG')]
4.40.37	प्रेक्ष्यथ	seeing	[('seeing', 'VBG')]
2.73.3	प्रेतभावस्थम्	reducing to a corpse	[('reducing', 'VBG')]
5.61.13	प्रेरिताः	motivated	[('motivated', 'VBN')]
1.33.25	प्रेषयामास	sent him to his kingdom.	[('sent', 'VBD')]
1.71.17	प्रेषयामास	sent a message.	[('sent', 'VBD')]
2.52.60	प्रेषयामि	I am sending	[('am', 'VBP'), ('sending', 'VBG')]
3.72.25	प्रेषयिष्यति	he will send	[('send', 'VB')]
2.13.10	प्रेषयिष्यामि	can despatch.	[('despatch.', 'VB')]
5.34.20	प्रेषितं नाम	person sent	[('sent', 'VBD')]
5.52.19	प्रेषितः	have been sent	[('have', 'VBP'), ('been', 'VBN'), ('sent', 'VBN')]
2.72.50	प्रेषितः	were sent.	[('were', 'VBD')]
5.50.8	प्रेषितः यदि तावत्	if you are sent	[('are', 'VBP')]
3.21.8	प्रेषिताः	were sent.	[('were', 'VBD')]
4.37.10	प्रेषिताः	are sent forth	[('are', 'VBP')]
4.65.22	प्रेष्यः	to be sent.	[('be', 'VB')]
4.65.22	प्रेष्यः	a servant who is sent	[('is', 'VBZ'), ('sent', 'VBN')]
5.39.39	प्रेष्यन्ते हि	will be sent.	[('be', 'VB')]
5.68.22	प्रेष्यन्ते हि	will send.	[('send.', 'VB')]
2.50.38	प्रेष्याः	are attendants	[('are', 'VBP')]
5.62.15	प्रेष्याः	engaged	[('engaged', 'VBN')]
2.12.52	प्रैक्षत	gazed	[('gazed', 'VBN')]
5.9.67	प्रैक्षन्त इव	gazed at him.	[('gazed', 'VBN')]
2.107.12	प्रोक्तः	has been told.	[('has', 'VBZ'), ('been', 'VBN')]
1.62.16	प्रोक्तम्	have been uttered.	[('have', 'VBP'), ('been', 'VBN')]
3.18.6	प्रोक्ता	having been told	[('having', 'VBG'), ('been', 'VBN'), ('told', 'VBN')]
3.56.6	प्रोक्ताः	has been said	[('has', 'VBZ'), ('been', 'VBN'), ('said', 'VBD')]
1.15.2	प्रोक्तैः	declared	[('declared', 'VBN')]
2.44.29	प्रोक्ष्यसि	will be drenched.	[('be', 'VB')]
1.43.38	प्रोच्यते	is being called.	[('is', 'VBZ'), ('being', 'VBG')]
2.26.9	प्रोच्यते	is declared	[('is', 'VBZ'), ('declared', 'VBN')]
3.31.44	प्रोत्साहयति	he encourages	[('encourages', 'VBZ')]
2.21.12	प्रोत्साहितः	instigated	[('instigated', 'VBN')]
2.35.30	प्रोत्साहिता	encouraged by	[('encouraged', 'VBN')]
2.9.55	प्रोत्साहिता	encouraged	[('encouraged', 'VBN')]
1.18.8	प्रोद्यमाने	was rising	[('was', 'VBD'), ('rising', 'VBG')]
1.9.19	प्रोवाच	said	[('said', 'VBD')]
1.33.14	प्रोवाच	said	[('said', 'VBD')]
2.26.19	प्रोवाच	said	[('said', 'VBD')]
2.68.8	प्रोषितम्	been exiled to the forest	[('been', 'VBN'), ('exiled', 'VBN')]
2.106.8	प्रोषिते	when I was away from home	[('was', 'VBD')]
2.20.41	प्रोषिते	when you are banished	[('are', 'VBP'), ('banished', 'VBN')]
2.76.6	प्रोषिते	when I was away from home	[('was', 'VBD')]
2.1.4	प्रोषितौ	who were away from home	[('were', 'VBD')]
1.18.15	प्रोष्ठपदोपमाः	resembling Purva Bhaadra	[('resembling', 'VBG')]
5.61.2	प्लवगर्षभाः	bulls among leaping monkeys	[('leaping', 'VBG')]
5.1.127	प्लवगोत्तम	O distinguished among the vanaras	[('distinguished', 'VBD')]
5.38.55	प्लवङ्गमम्	to vanara	[('vanara', 'VB')]
4.65.4	प्लवङ्गमाः	O leaping monkeys	[('leaping', 'VBG')]
4.67.39	प्लवतः	for me as I leap	[('leap', 'VBP')]
5.53.36	प्लवता	while I leaped	[('leaped', 'VBD')]
4.67.39	प्लवतां वराः	best among those who leap	[('leap', 'VBP')]
5.64.26	प्लवताम्	leaping	[('leaping', 'VBG')]
5.1.146	प्लवते	is flying	[('is', 'VBZ'), ('flying', 'VBG')]
5.12.24	प्लवनं च	in crossing	[('crossing', 'VBG')]
4.66.29	प्लवने	in flying	[('flying', 'VBG')]
5.1.10	प्लवने	taking leap	[('taking', 'VBG')]
4.65.16	प्लवने	to leap	[('leap', 'VB')]
4.64.24	प्लवने	in leaping	[('leaping', 'VBG')]
5.60.3	प्लवने	in leaping	[('leaping', 'VBG')]
4.66.19	प्लवने चैव	even in leaping	[('leaping', 'VBG')]
4.67.10	प्लवनेन	in leaping	[('leaping', 'VBG')]
5.1.84	प्लवन्तम्	while he was leaping	[('was', 'VBD'), ('leaping', 'VBG')]
5.61.14	प्लवन्ति	jumped up	[('jumped', 'VBD')]
5.37.5	प्लवमानः	while getting drowned	[('getting', 'VBG'), ('drowned', 'VBD')]
2.69.9	प्लवमानः	floating	[('floating', 'VBG')]
4.67.22	प्लवमानः	while I am leaping	[('am', 'VBP'), ('leaping', 'VBG')]
4.67.18	प्लवमानः	while I leap	[('leap', 'VBP')]
4.67.18	प्लवमानः	when I leap	[('leap', 'VBP')]
4.67.19	प्लवमानम्	as I leap	[('leap', 'VBP')]
5.1.75	प्लवमानम्	coursing through	[('coursing', 'VBG')]
5.1.85	प्लवमानम्	while he leaped	[('leaped', 'VBD')]
5.1.83	प्लवमानम्	crossing	[('crossing', 'VBG')]
5.1.182	प्लवमानम्	him who was speeding in the sky	[('was', 'VBD'), ('speeding', 'VBG')]
5.1.149	प्लवमानम्	leaping	[('leaping', 'VBG')]
5.1.64	प्लवमानस्य	while he was crossing	[('was', 'VBD'), ('crossing', 'VBG')]
4.67.26	प्लवमानस्य	while I am leaping over	[('am', 'VBP'), ('leaping', 'VBG')]
5.1.61	प्लवमानस्य	when he was flying	[('was', 'VBD'), ('flying', 'VBG')]
5.61.7	प्लवमानाः	started leaping	[('started', 'VBN'), ('leaping', 'VBG')]
5.2.20	प्लवमानामिव	as if moving  पुरीम् city	[('moving', 'VBG')]
5.1.87	प्लवमाने	while leaping	[('leaping', 'VBG')]
4.65.4	प्लवितुम्	to leap	[('leap', 'VB')]
4.65.4	प्लवेयं	I can leap.	[('leap.', 'VB')]
4.65.3	प्लवेयम्	I can leap	[('leap', 'VB')]
4.1.99	प्लवैः	swemming	[('swemming', 'VBG')]
1.43.41	प्लावयत्	inundated	[('inundated', 'VBN')]
1.44.14	प्लावयस्व	take bath by dipping and floating later	[('take', 'VB'), ('dipping', 'VBG'), ('floating', 'VBG')]
4.67.12	प्लावयितुम्	to submerge	[('submerge', 'VB')]
1.41.20	प्लावयेत्	will sanctify	[('sanctify', 'VB')]
1.36.3	प्लावयेत्	should be overflowing with waters? धर्मज्ञ O Knower of righteousness	[('be', 'VB'), ('overflowing', 'VBG')]
4.67.23	प्लुतम्	flying	[('flying', 'VBG')]
4.66.21	फलं चेति	treating it to be	[('treating', 'VBG'), ('be', 'VB')]
4.52.2	फलभक्षणात्	by eating fruits	[('eating', 'VBG')]
2.109.28	फलभागिनः	have obtained a share of the fruits.	[('have', 'VBP'), ('obtained', 'VBN')]
4.33.23	फलमाल्यकृतव्यग्राः	engaged in making garlands and arranging fruits	[('engaged', 'VBN'), ('making', 'VBG'), ('arranging', 'VBG')]
3.50.27	फलमिव	like a ripe fruit is dropped down	[('is', 'VBZ'), ('dropped', 'VBN')]
3.73.40	फलमूलान्वीतः	filled with fruits and roots	[('filled', 'VBN')]
2.112.23	फलमूलाशनः	living on fruits and roots	[('living', 'VBG')]
2.88.26	फलमूलाशनः	eating fruits and roots	[('eating', 'VBG')]
1.56.24	फलमूलाशनः	subsisting on fruits and roots	[('subsisting', 'VBG')]
2.27.15	फलमूलाशना	living on fruits and roots	[('living', 'VBG')]
1.51.22	फलमूलाशनैः	by those living on fruits and roots as their food	[('living', 'VBG')]
3.1.6	फलमूलाशनैः	by those living on fruits and roots	[('living', 'VBG')]
3.19.14	फलमूलाशनौ	living on fruits and roots	[('living', 'VBG')]
2.50.44	फलमूलाशिनम्	susbsisting on fruits and roots	[('susbsisting', 'VBG')]
3.20.8	फलमूलाशिनौ	both survive on fruits and roots etc	[('survive', 'VBP'), ('etc', 'VBP')]
1.42.18	फलम् अस्ति यदि	if worthy reward is possible	[('is', 'VBZ')]
2.63.9	फलवेलायाम्	at the time of reaping the fruits of action	[('reaping', 'VBG')]
2.63.10	फलागमे	at the time of bearing fruit	[('bearing', 'VBG')]
2.63.8	फलागमे	when the fruits are borne	[('are', 'VBP')]
4.37.31	फलाशनाः	those who live on fruits	[('live', 'VBP')]
2.63.8	फले	fruit (of that tree)	[('(of', 'VBZ')]
2.64.25	फलेत्	will break.	[('break.', 'VB')]
2.64.23	फलेत् स्म	would have been split.	[('have', 'VB'), ('been', 'VBN')]
4.65.25	फलो पुष्पोदयाः	bearing flowers and fruits	[('bearing', 'VBG')]
2.52.17	फलोदयः	this is the result	[('is', 'VBZ')]
5.68.11	फलोदयः	having succeed	[('having', 'VBG'), ('succeed', 'VB')]
1.72.13	फल्गुनीभ्याम् उत्तरे दिवसे	on the later day of the ascent of the two Phalgunis (Phalgunis are two sisters. The previous day of the ascent of Phalguni stars	[('are', 'VBP')]
1.71.24	फल्गुन्याम्	known as Phalguni	[('known', 'VBN')]
3.61.26	फ़ुल्लपङ्कजाः	fully blossomed lotuses	[('blossomed', 'VBN')]
3.8.13	फुल्लपङ्कजषण्डानि	with fully blossomed lotuses	[('blossomed', 'VBN')]
5.9.39	फुल्लानि	bloomed	[('bloomed', 'VBN')]
4.12.39	फुल्लाम्	flowers blossomed	[('blossomed', 'VBD')]
5.32.2	फुल्लाशोकोत्कराभासम्	bright like fullyblossomed Ashoka flower	[('fullyblossomed', 'VBN')]
3.15.13	फुल्लैः	flowering तरुभिः trees	[('flowering', 'VBG')]
2.50.20	फुल्लोत्पलच्छन्नाम्	covered with fulblown waterlilies	[('covered', 'VBN')]
2.50.16	फेननिर्मलहासिनीम्	with the sparkling smile of foam	[('sparkling', 'VBG')]
3.30.6	फेनबुद्बुदभूषितम्	adorned with bubbles and foam	[('adorned', 'VBN')]
4.40.48	बडबामुखम्	burning face of Vadava	[('burning', 'VBG')]
2.100.5	बत	it is a pity	[('is', 'VBZ')]
2.53.11	बतः	may be.	[('be.', 'VB')]
2.56.21	बद्दकटाम्	with mats tied around as walls	[('tied', 'VBN')]
1.2.30	बद्धः	composed	[('composed', 'VBN')]
5.48.48	बद्धः	tied	[('tied', 'VBN')]
3.51.27	बद्धः	are bound	[('are', 'VBP'), ('bound', 'VBN')]
1.62.25	बद्धः	having been bound	[('having', 'VBG'), ('been', 'VBN'), ('bound', 'VBN')]
2.106.9	बद्धः अस्मि	I am bound	[('am', 'VBP')]
2.14.24	बद्धः अस्मि	I am bound	[('am', 'VBP')]
5.49.8	बद्धकेयूरैः	wearing armlets	[('wearing', 'VBG')]
2.23.35	बद्धगोधाङ्गुलित्राणे	while donning the godha (a leather fence fastened round the left arm to prevent injury from the bowstring) and fingerprotector (a contrivance like a thimble used by archers to protect the thumb or finger from being injured by bowstring)	[('donning', 'VBG'), ('fastened', 'VBD'), ('prevent', 'VB'), ('(a', 'VBP'), ('used', 'VBN'), ('protect', 'VB'), ('being', 'VBG'), ('injured', 'VBN')]
1.22.8	बद्धगोधाङ्गुलित्राणौ	their left arms covered by leather to protect from bowstring and fingers encased in Gauna skin	[('covered', 'VBN'), ('protect', 'VB'), ('bowstring', 'VBG'), ('encased', 'VBN')]
2.67.20	बद्धघण्टाविषाणिनः	of tusks adorned with bells	[('adorned', 'VBN')]
1.4.8	बद्धम्	formed	[('formed', 'VBN')]
2.20.55	बद्धम्	is made captive	[('is', 'VBZ'), ('made', 'VBN')]
5.44.1	बद्धम्	is bound	[('is', 'VBZ')]
2.40.43	बद्धवत्सा	fastened calf	[('fastened', 'VBN')]
5.1.154	बद्धवैरस्य	deeprooted enmity	[('deeprooted', 'VBN')]
5.58.151	बद्धस्य	tied	[('tied', 'VBN')]
5.28.7	बद्धस्य	captured	[('captured', 'VBN')]
2.78.7	बद्धा	tied around	[('tied', 'VBN')]
2.117.19	बद्धाञ्जलिपुटा	folding the palms	[('folding', 'VBG')]
1.68.4	बद्धाञ्जलिपुटाः	folding the hands together in supplication	[('folding', 'VBG')]
2.99.10	बद्धानि	have been fastened	[('have', 'VBP'), ('been', 'VBN'), ('fastened', 'VBN')]
5.17.21	बद्धाम्	fettered	[('fettered', 'VBN')]
5.50.16	बद्धुम्	to bind	[('bind', 'VB')]
2.40.29	बद्धे	when fastened	[('fastened', 'VBN')]
5.27.28	बद्ध्वा	having bound	[('having', 'VBG')]
5.64.5	बद्ध्वा	holding	[('holding', 'VBG')]
3.61.24	बद्ध्वा	after binding	[('binding', 'VBG')]
2.45.12	बद्ध्वा इव	as if bound by	[('bound', 'VBN')]
5.37.3	बद्ध्वा इव	like tying	[('tying', 'VBG')]
2.10.8	बद्वा	having fastened	[('having', 'VBG'), ('fastened', 'VBN')]
1.26.6	बद्वा	clinching	[('clinching', 'VBG')]
2.23.2	बध्द्वा	having knitted	[('having', 'VBG'), ('knitted', 'VBN')]
3.55.24	बध्धुम्	to bind	[('bind', 'VB')]
2.37.15	बध्नन्तम्	when he was fastening	[('was', 'VBD'), ('fastening', 'VBG')]
2.37.12	बध्नन्ति नु	wear them	[('wear', 'VB')]
5.53.12	बध्नन्ति यदि	if they are binding	[('are', 'VBP'), ('binding', 'VBG')]
2.21.12	बध्यताम्	shall be imprisoned	[('be', 'VB'), ('imprisoned', 'VBN')]
2.62.11	बध्वा	setting	[('setting', 'VBG')]
2.52.11	बध्वा	wearing	[('wearing', 'VBG')]
2.80.10	बन्धनीयान्	required to be bridged	[('required', 'VBN'), ('be', 'VB'), ('bridged', 'VBN')]
2.84.4	बन्धयिष्यति	is going to bind us  with cords?	[('is', 'VBZ'), ('going', 'VBG'), ('bind', 'VB')]
2.18.23	बन्धितुम्	to construct	[('construct', 'VB')]
4.41.49	बन्धुः	dear and close	[('close', 'VB')]
3.52.44	बन्धुजनेन विनाकृता	distanced from her relatives	[('distanced', 'VBN')]
2.115.6	बन्धुलुब्धस्य	attached to your relations	[('attached', 'VBN')]
3.39.25	बन्धुहितार्थिना	one seeking the welfare of relations	[('seeking', 'VBG')]
5.48.51	बन्धैः	was tied	[('was', 'VBD'), ('tied', 'VBN')]
5.48.46	बबन्धु	tied	[('tied', 'VBN')]
2.80.10	बबन्धुः	bridged	[('bridged', 'VBN')]
2.37.20	बबन्धैव	got them fastened.	[('got', 'VBD'), ('fastened.', 'VB')]
3.4.5	बभञ्ज ह	broke down	[('broke', 'VBD')]
3.49.2	बभाषे	said	[('said', 'VBD')]
4.53.37	बभाषे	he spoke	[('spoke', 'VBD')]
5.4.5	बभासे	was shining.	[('was', 'VBD')]
2.1.35	बभूव	a (thought) flashed	[('flashed', 'VBD')]
3.51.41	बभूव	took place.	[('took', 'VBD')]
4.33.63	बभूव	appeared	[('appeared', 'VBD')]
3.64.42	बभूव	was fought.	[('was', 'VBD')]
3.27.10	बभूव	took place.	[('took', 'VBD')]
3.51.4	बभूव	took place.	[('took', 'VBD')]
5.58.28	बभूव	grew in size.	[('grew', 'VBD')]
3.30.39	बभूव	became	[('became', 'VBD')]
3.25.14	बभूव	became (appeared).	[('became', 'VBD')]
1.33.24	बभूव	became	[('became', 'VBD')]
3.23.3	बभूव	appeared	[('appeared', 'VBD')]
3.52.9	बभूव	became	[('became', 'VBD')]
5.10.54	बभूव	remained	[('remained', 'VBD')]
5.32.8	बभूव	remained	[('remained', 'VBD')]
1.70.43	बभूव	was born	[('was', 'VBD'), ('born', 'VBN')]
5.1.144	बभूव	became	[('became', 'VBD')]
3.23.8	बभूव	became	[('became', 'VBD')]
3.2.25	बभूव ह	was felt	[('was', 'VBD'), ('felt', 'VBN')]
2.110.11	बभूव ह	was born	[('was', 'VBD'), ('born', 'VBN')]
2.70.25	बभूव हि	filled with.	[('filled', 'VBN')]
1.70.30	बभूवतुः	became	[('became', 'VBD')]
5.58.13	बभूवुः	had	[('had', 'VBD')]
5.43.22	बभूवुः	will be.	[('be.', 'VB')]
2.91.70	बभूवुः	were formed	[('were', 'VBD'), ('formed', 'VBN')]
2.91.72	बभूवुः	were formed.	[('were', 'VBD')]
4.33.3	बभूवुः	became	[('became', 'VBD')]
1.7.2	बभूवुः	had been employed.	[('had', 'VBD'), ('been', 'VBN')]
3.14.10	बभूवुः इति	were born thus	[('were', 'VBD'), ('born', 'VBN')]
5.37.35	बभौ	appeared	[('appeared', 'VBD')]
4.37.28	बभौ	was performed.	[('was', 'VBD')]
2.5.14	बभौ	was splendid.	[('was', 'VBD')]
5.43.4	बभौ	looked	[('looked', 'VBD')]
3.23.9	बभौ	appeared	[('appeared', 'VBD')]
5.1.57	बभौ	looked	[('looked', 'VBD')]
5.1.13	बभौ	appeared	[('appeared', 'VBD')]
2.55.34	बर्हिणपूगनादिते	resounding with the melody of peacocks	[('resounding', 'VBG')]
3.3.13	बर्हिणवाससः	arrows tied with peacock feathers	[('tied', 'VBN')]
3.75.14	बर्हिणोद्घुष्टनादिताम्	resounding with the shrill by of peacocks	[('resounding', 'VBG')]
2.30.35	बलकराः न	not strengthening.	[('strengthening.', 'VB')]
4.39.44	बलज्ञः	know the strength	[('know', 'VB')]
2.40.18	बलमूर्छा च	were deprived of their strength.	[('were', 'VBD'), ('deprived', 'VBN')]
5.9.35	बलवत्	compelled	[('compelled', 'VBN')]
1.54.11	बलवत्तरः	is mighty.	[('is', 'VBZ')]
1.54.14	बलवत्तरः न	is not great in strength	[('is', 'VBZ')]
4.1.121	बलवान्	is strength	[('is', 'VBZ')]
1.5.23	बलवान्	possessed of strength	[('possessed', 'VBN')]
5.47.17	बलवीर्यसंयुतः	endowed with strength and valour	[('endowed', 'VBN')]
5.48.7	बलानि च	armies also.	[('also.', 'VBP')]
1.75.14	बलाबलनिरीक्षया	to ascertain the strengths and weaknesses	[('ascertain', 'VB')]
5.13.69	बलाभिभूता	overpowered by force	[('overpowered', 'VBN')]
5.48.10	बलावमर्थः	judging the strength	[('judging', 'VBG')]
1.53.13	बलिः	offerings to spirits of all created beings	[('created', 'VBN')]
1.5.14	बलिकर्मभिः	by kings who make payment of tribute	[('make', 'VBP')]
2.71.37	बलिकर्मविहीनानि	devoid of offering oblations	[('offering', 'VBG')]
2.80.8	बलिनः	strongrooted	[('strongrooted', 'VBN')]
4.58.26	बलिभोजानाम्	crows living on the offerings of food	[('living', 'VBG')]
5.1.206	बलिवीर्यहरः	just as Hari took small form to defeat king Bali	[('took', 'VBD'), ('defeat', 'VB')]
3.1.6	बलिहोमार्चितम्	worshipped with various offerings and sacrifices	[('worshipped', 'VBN')]
1.25.3	बलोत्तरा	acquired great strength	[('acquired', 'VBN')]
1.18.28	बहिः प्राण इव	like life moving outside (his body).	[('moving', 'VBG')]
3.34.13	बहिश्चरः	moving outside	[('moving', 'VBG')]
2.76.13	बहिष्कृताः	have been put outside	[('have', 'VBP'), ('been', 'VBN'), ('put', 'VBN')]
2.27.7	बहिष्कृत्य	dismissing	[('dismissing', 'VBG')]
3.61.26	बहुकन्दर निर्झरः	having many caves and streams	[('having', 'VBG')]
4.49.19	बहुकन्दरम्	having many caves	[('having', 'VBG')]
5.8.5	बहुकूटमण्डितम्	decorated with many peaks	[('decorated', 'VBN')]
1.64.7	बहुगुणम्	displaying many romantic gestures	[('displaying', 'VBG')]
1.13.6	बहुगुणान्विताः	commanding all comforts	[('commanding', 'VBG')]
2.33.4	बहुजनाकुलाः	thronged with multitudes of citizens	[('thronged', 'VBN')]
5.28.4	बहुदुःखपूर्णम्	filled with agony	[('filled', 'VBN')]
2.28.5	बहुदोषं	(बहुदोषयुतं) has many hardships	[('has', 'VBZ')]
2.28.25	बहुदोषतरम्	is full of great dangers	[('is', 'VBZ')]
5.54.45	बहुपादपम्	having many trees	[('having', 'VBG')]
3.11.43	बहुपादपसङ्कुलः	filled with many trees	[('filled', 'VBN')]
5.35.24	बहुपादपसङ्कुले	filled with many trees	[('filled', 'VBN')]
2.75.49	बहुपुत्रः	possessing many sons	[('possessing', 'VBG')]
2.50.28	बहुपुष्पप्रवालवान्	having many flowers and budding leaves	[('having', 'VBG'), ('budding', 'VBG')]
3.7.4	बहुपुष्पफलद्रुमम्	filled with trees bearing different kinds of flowers and fruits	[('filled', 'VBN'), ('bearing', 'VBG')]
3.60.34	बहुबान्धवा	having many relations	[('having', 'VBG')]
3.69.8	बहुभीममृगद्विजम्	filled with fearful beasts and birds	[('filled', 'VBN')]
2.109.5	बहुमंस्यति	would be held in high esteem?	[('be', 'VB'), ('held', 'VBN')]
2.48.12	बहुमञ्जरिधारिणः	wearing many clusters of blossoms	[('wearing', 'VBG')]
1.37.8	बहुमतं भविष्यति	will be acceptable	[('be', 'VB')]
1.67.23	बहुमता	valued	[('valued', 'VBN')]
5.27.40	बहुमताम्	highly respected one	[('respected', 'VBN')]
5.58.101	बहुमन्यते	presented to him.	[('presented', 'VBN'), ('him.', 'VB')]
5.24.3	बहुमन्यसे	you are holding this in high esteem	[('are', 'VBP'), ('holding', 'VBG')]
5.47.24	बहुमानचक्षुषा	admiring looks	[('admiring', 'VBG')]
5.33.29	बहुमान्य	respecting	[('respecting', 'VBG')]
2.116.20	बहुमूलफलम्	abounding in roots and fruits	[('abounding', 'VBG')]
2.54.39	बहुमूलफलायुतः	abounding in many roots and fruits	[('abounding', 'VBG')]
5.13.40	बहुमूलफलोदके	filled with fruits roots and water	[('filled', 'VBN')]
5.39.18	बहुमेने	held in great esteem	[('held', 'VBN')]
5.7.8	बहुरत्नचित्रम्	colourful on account of gems encrusted	[('encrusted', 'VBN')]
3.6.12	बहुवार्षिकीम्	extending over long years	[('extending', 'VBG')]
3.10.15	बहुविघ्नम्	is full of obstacles	[('is', 'VBZ')]
2.38.4	बहुविधम्	several kinds (of wealth)	[('(of', 'VBP')]
2.64.58	बहुविलप्य	lamenting long	[('lamenting', 'VBG')]
1.6.6	बहुश्रुताः	widely learned	[('learned', 'VBN')]
2.12.65	बहुश्रुताः	welllearned	[('welllearned', 'VBN')]
2.100.58	बहुश्रुताः	wellinformed	[('wellinformed', 'VBN')]
2.107.13	बहुश्रुताः	learned	[('learned', 'VBN')]
2.2.32	बहुश्रुतानाम्	of those learned in a number of  shastras	[('learned', 'VBN')]
5.11.21	बहुसंस्थितैः	arranged in varied styles	[('arranged', 'VBN')]
2.80.11	बहूदकान्	having large volumes of water	[('having', 'VBG')]
3.64.23	बाढमित्येव	saying 'yes'	[('saying', 'VBG')]
2.50.30	बाढमित्येव	'Be it so'	"[(""so'"", 'VBD')]"
1.36.12	बाढम्	"""Be it so"""	"[('""Be', 'VB'), ('so""', 'VB')]"
1.52.19	बाढम्	be it so	[('be', 'VB')]
1.60.33	बाढम् इत्येव	so be it	[('be', 'VB')]
5.58.40	बाढम् इत्येव	saying well	[('saying', 'VBG')]
1.28.12	बाढम् इत्येव	'certainly I shall do so' (saying so received the astras)	"[('do', 'VB'), (""so'"", 'VB'), ('(saying', 'VBG'), ('received', 'VBD')]"
3.9.15	बाणधनुष्पाणिः	holding bow and arrows	[('holding', 'VBG')]
3.30.3	बाणविनिर्भिन्ना	broken by arrows	[('broken', 'VBN')]
2.110.9	बाणस्य	to Bana	[('Bana', 'VB')]
3.30.21	बाणान्तरात्	by the arrows piercing	[('piercing', 'VBG')]
5.44.10	बाणाभिहतः	struck by the shafts	[('struck', 'VBN')]
2.63.26	बाणाभिहतमर्मणः	with the vital organ hit by the shaft	[('hit', 'VBN')]
