YAJURVED	मन्त्रसंख्या				
1160	20.39	20	39	1160	जुषाणो बर्हिर्हरिवान्नऽइन्द्रः प्राचीनꣳ सीदत् प्रदिशा पृथिव्याः। उरुप्रथाः प्रथमानꣳ स्योनमादित्यैरक्तं वसुभिः सजोषाः ॥३९ ॥
1161	20.40	20	40	1161	इन्द्रं दुरः कवष्यो धावमाना वृषाणं यन्तु जनयः सुपत्नीः। द्वारो देवीरभितो विश्रयन्ता सुवीरा वीरं प्रथमाना महोभिः ॥४० ॥
1162	20.41	20	41	1162	उषासानक्ता बृहती बृहन्तं पयस्वती सुदुघे शूरमिन्द्रम्। तन्तुं ततं पेशसा संवयन्ती देवानां देवं यजतः सुरुक्मे ॥४१ ॥
1163	20.42	20	42	1163	दैव्या मिमाना मनुषः पुरुत्रा होताराविन्द्रं प्रथमा सुवाचा। मूर्द्धन् यज्ञस्य मधुना दधाना प्राचीनं ज्योतिर्हविषा वृधातः ॥४२ ॥
1164	20.43	20	43	1164	तिस्रो देवीर्हविषा वर्द्धमानाऽइन्द्रं जुषाणा जनयो न पत्नीः। अच्छिन्नं तन्तुं पयसा सरस्वतीडा देवी भारती विश्वतूर्त्तिः ॥४३ ॥
1165	20.44	20	44	1165	त्वष्टा दधच्छुष्ममिन्द्राय वृष्णेऽपाकोऽचिष्टुर्यशसे पुरूणि। वृषा यजन्वृषणं भूरिरेता मूर्द्धन् यज्ञस्य समनक्तु देवान् ॥४४ ॥
1166	20.45	20	45	1166	वनस्पतिरवसृष्टो न पाशैस्त्मन्या समञ्जञ्छमिता न देवः। इन्द्रस्य हव्यैर्जठरं पृणानः स्वदाति यज्ञं मधुना घृतेन ॥४५ ॥
1167	20.46	20	46	1167	स्तोकानामिन्दुं प्रति शूरऽइन्द्रो वृषायमाणो वृषभस्तुराषाट्। घृतप्रुषा मनसा मोदमानाः स्वाहा देवाऽअमृता मादयन्ताम् ॥४६ ॥
1168	20.47	20	47	1168	आयात्विन्द्रोऽवसऽउप नऽइह स्तुतः सधमादस्तु शूरः। वावृधानस्तविषीर्यस्य पूर्वीर्द्यौर्न क्षत्रमभिभूति पुष्यात् ॥४७ ॥
1169	20.48	20	48	1169	आ नऽइन्द्रो दूरादा नऽआसादभिष्टिकृदवसे यासदुग्रः। ओजिष्ठेभिर्नृपतिर्वज्रबाहुः सङ्गे समत्सु तुर्वणिः पृतन्यून् ॥४८ ॥
1170	20.49	20	49	1170	आ नऽइन्द्रो हरिभिर्यात्वच्छार्वाचीनोऽवसे राधसे च। तिष्ठाति वज्री मघवा विरप्शीमं यज्ञमनु नो वाजसातौ ॥४९ ॥
1171	20.50	20	50	1171	त्रातारमिन्द्रमवितारमिन्द्रꣳ हवेहवे सुहवꣳ शूरमिन्द्रम्। ह्वयामि शक्रं पुरुहूतमिन्द्रꣳ स्वस्ति नो मघवा धात्विन्द्रः ॥५० ॥
1172	20.51	20	51	1172	इन्द्रः सुत्रामा स्ववाँ२ऽअवोभिः सुमृडीको भवतु विश्ववेदाः। बाधतां द्वेषोऽअभयं कृणोतु सुवीर्यस्य पतयः स्याम ॥५१ ॥
1173	20.52	20	52	1173	तस्य वयꣳ सुमतौ यज्ञियस्यापि भद्रे सौमनसे स्याम। स सुत्रामा स्ववाँ२ऽइन्द्रोऽअस्मेऽआराच्चिद् द्वेषः सनुतर्युयोतु ॥५२ ॥
1174	20.53	20	53	1174	आ मन्द्रैरिन्द्र हरिभिर्याहि मयूररोमभिः। मा त्वा के चिन्नि यमन् विं न पाशिनोऽति धन्वेव ताँ२ऽइहि ॥५३ ॥
1175	20.54	20	54	1175	एवेदिन्द्रं वृषणं वज्रबाहुं वसिष्ठासोऽअभ्यर्चन्त्यर्कैः। स नः स्तुतो वीरवद्धातु गोमद् यूयं पात स्वस्तिभिः सदा नः ॥५४ ॥
1176	20.55	20	55	1176	समिद्धोऽअग्निरश्विना तप्तो घर्मो विराट् सुतः। दुहे धेनुः सरस्वती सोमꣳ शुक्रमिहेन्द्रियम् ॥५५ ॥
1177	20.56	20	56	1177	तनूपा भिषजा सुतेऽश्विनोभा सरस्वती। मध्वा रजासीन्द्रियमिन्द्राय पथिभिर्वहान् ॥५६ ॥
1178	20.57	20	57	1178	इन्द्रायेन्दुꣳ सरस्वती नराशꣳसेन नग्नहुम्। अधातामश्विना मधु भेषजं भिषजा सुते ॥५७ ॥
1179	20.58	20	58	1179	आजुह्वाना सरस्वतीन्द्रायेन्द्रियाणि वीर्यम्। इडाभिरश्विनाविषꣳ समूर्जꣳ सꣳ रयिं दधुः ॥५८ ॥
1180	20.59	20	59	1180	अश्विना नमुचेः सुतꣳ सोमꣳ शुक्रं परिस्रुता। सरस्वती तमाभरद् बर्हिषेन्द्राय पातवे ॥५९ ॥
1181	20.60	20	60	1181	कवष्यो न व्यचस्वतीरश्विभ्यां न दुरो दिशः। इन्द्रो न रोदसीऽउभे दुहे कामान्त्सरस्वती ॥६० ॥
1182	20.61	20	61	1182	उषासानक्तमश्विना दिवेन्द्रꣳ सायमिन्द्रियैः। संजानाने सुपेशसा समञ्जाते सरस्वत्या ॥६१ ॥
1183	20.62	20	62	1183	पातं नोऽअश्विना दिवा पाहि नक्तꣳ सरस्वति। दैव्या होतारा भिषजा पातमिन्द्रꣳ सचा सुते ॥६२ ॥
1184	20.63	20	63	1184	तिस्रस्त्रेधा सरस्वत्यश्विना भारतीडा। तीव्रं परिस्रुता सोममिन्द्राय सुषुवुर्मदम् ॥६३ ॥
1185	20.64	20	64	1185	अश्विना भेषजं मधु भेषजं नः सरस्वती। इन्द्रे त्वष्टा यशः श्रियꣳ रूपꣳरूपमधुः सुते ॥६४ ॥
1186	20.65	20	65	1186	ऋतुथेन्द्रो वनस्पतिः शशमानः परिस्रुता। कीलालमश्विम्यां मधु दुहे धेनुः सरस्वती ॥६५ ॥
1187	20.66	20	66	1187	गोभिर्न सोममश्विना मासरेण परिस्रुता। समधातꣳ सरस्वत्या स्वाहेन्द्रे सुतं मधु ॥६६ ॥
1188	20.67	20	67	1188	अश्विना हविरिन्द्रियं नमुचेर्धिया सरस्वती। आ शुक्रमासुराद्वसु मघमिन्द्राय जभ्रिरे ॥६७ ॥
1189	20.68	20	68	1189	यमश्विना सरस्वती हविषेन्द्रमवर्द्धयन्। स बिभेद बलं मघं नमुचावासुरे सचा ॥६८ ॥
1190	20.69	20	69	1190	तमिन्द्रं पशवः सचाश्विनोभा सरस्वती। दधाना अभ्यनूषत हविषा यज्ञऽइन्द्रियैः ॥६९ ॥
1191	20.70	20	70	1191	यऽइन्द्रऽइन्द्रियं दधुः सविता वरुणो भगः। स सुत्रामा हविष्पतिर्यजमानाय सश्चत ॥७० ॥
1192	20.71	20	71	1192	सविता वरुणो दधद् यजमानाय दाशुषे। आदत्त नमुचेर्वसु सुत्रामा बलमिन्द्रियम् ॥७१ ॥
1193	20.72	20	72	1193	वरुणः क्षत्रमिन्द्रियं भगेन सविता श्रियम्। सुत्रामा यशसा बलं दधाना यज्ञमाशत ॥७२ ॥
1194	20.73	20	73	1194	अश्विना गोभिरिन्द्रियमश्वेभिर्वीर्यं बलम्। हविषेन्द्रꣳ सरस्वती यजमानमवर्द्धयन् ॥७३ ॥
1195	20.74	20	74	1195	ता नासत्या सुपेशसा हिरण्यवर्त्तनी नरा। सरस्वती हविष्मतीन्द्र कर्मसु नोऽवत ॥७४ ॥
1196	20.75	20	75	1196	ता भिषजा सुकर्मणा सा सुदुघा सरस्वती। स वृत्रहा शतक्रतुरिन्द्राय दधुरिन्द्रियम् ॥७५ ॥
1197	20.76	20	76	1197	युवꣳ सुराममश्विना नमुचावासुरे सचा। विपिपानाः सरस्वतीन्द्रं कर्मस्वावत ॥७६ ॥
1198	20.77	20	77	1198	पुत्रमिव पितरावश्विनोभेन्द्रावथुः काव्यैर्दꣳसनाभिः। यत्सुरामं व्यपिबः शचीभिः सरस्वती त्वा मघवन्नभिष्णक् ॥७७ ॥
1199	20.78	20	78	1199	यस्मिन्नश्वासऽऋषभासऽउक्षणो वशा मेषाऽअवसृष्टासऽआहुताः। कीलालपे सोमपृष्ठाय वेधसे हृदा मतिं जनय चारुमग्नये ॥७८ ॥
1200	20.79	20	79	1200	अहाव्यग्ने हविरास्ये ते स्रुचीव घृतं चम्वीव सोमः। वाजसनिꣳ रयिमस्मे सुवीरं प्रशस्तं धेहि यशसं बृहन्तम् ॥७९ ॥
1201	20.80	20	80	1201	अश्विना तेजसा चक्षुः प्राणेन सरस्वती वीर्यम्। वाचेन्द्रो बलेनेन्द्राय दधुरिन्द्रियम् ॥८० ॥
1202	20.81	20	81	1202	गोमदू षु णासत्याश्वावद्यातमश्विना। वर्त्ती रुद्रा नृपाय्यम् ॥८१ ॥
1203	20.82	20	82	1203	न यत्परो नान्तरऽआदधर्षद् वृषण्वसू। दुःशꣳसो मर्त्यो रिपुः ॥८२ ॥
1204	20.83	20	83	1204	ता नऽआ वोढमश्विना रयिं पिशङ्गसन्दृशम्। धिष्ण्या वरिवोविदम् ॥८३ ॥
1205	20.84	20	84	1205	पावका नः सरस्वती वाजेभिर्वाजिनीवती। यज्ञं वष्टु धियावसुः ॥८४ ॥
1206	20.85	20	85	1206	चोदयित्री सूनृतानां चेतन्ती सुमतीनाम्। यज्ञं दधे सरस्वती ॥८५ ॥
1207	20.86	20	86	1207	महोऽअर्णः सरस्वती प्र चेतयति केतुना। धियो विश्वा वि राजति ॥८६ ॥
1208	20.87	20	87	1208	इन्द्रायाहि चित्रभानो सुताऽइमे त्वायवः। अण्वीभिस्तना पूतासः ॥८७ ॥
1209	20.88	20	88	1209	इन्द्रायाहि धियेषितो विप्रजूतः सुतावतः। उप ब्रह्माणि वाघतः ॥८८ ॥
1210	20.89	20	89	1210	इन्द्रायाहि तूतुजानऽउप ब्रह्माणि हरिवः। सुते दधिष्व नश्चनः ॥८९ ॥
1211	20.90	20	90	1211	अश्विना पिबतां मधु सरस्वत्या सजोषसा। इन्द्रः सुत्रामा वृत्रहा जुषन्ता सोम्यं मधु ॥९० ॥
1212	21.1	21	1	1212	इमं मे वरुण श्रुधी हवमद्या च मृडय। त्वामवस्युरा चके ॥१ ॥
1213	21.2	21	2	1213	तत्त्वा यामि ब्रह्मणा वन्दमानस्तदाशास्ते यजमानो हविर्भिः। अहेडमानो वरुणेह बोध्युरुशꣳस मा नऽआयुः प्र मोषीः ॥२ ॥
1214	21.3	21	3	1214	त्वं नोऽअग्ने वरुणस्य विद्वान् देवस्य हेडोऽअव यासिसीष्ठाः। यजिष्ठो वह्नितमः शोशुचानो विश्वा द्वेषासि प्र मुमुग्ध्यस्मत्॥३ ॥
1215	21.4	21	4	1215	स त्वं नोऽअग्नेऽवमो भवोती नेदिष्ठोऽअस्याऽउषसो व्युष्टौ। अव यक्ष्व नो वरुणꣳ रराणो वीहि मृडीकꣳ सुहवो नऽएधि ॥४ ॥
1216	21.5	21	5	1216	महीमू षु मातरꣳ सुव्रतानामृतस्य पत्नीमवसे हुवेम। तुविक्षत्रामजरन्तीमुरूची सुशर्माणमदितिꣳ सुप्रणीतिम् ॥५ ॥
1217	21.6	21	6	1217	सुत्रामाणं पृथिवीं द्यामनेहसꣳ सुशर्माणमदितिꣳ सुप्रणीतिम्। दैवीं नावꣳ स्वरित्रामनागसमस्रवन्तीमा रुहेमा स्वस्तये ॥६ ॥
1218	21.7	21	7	1218	सुनावमा रुहेयमस्रवन्तीमनागसम्। शतारित्रा स्वस्तये ॥७ ॥
1219	21.8	21	8	1219	आ नो मित्रावरुणा घृतैर्गव्यूतिमुक्षतम्। मध्वा रजासि सुक्रतू ॥८ ॥
1220	21.9	21	9	1220	प्र बाहवा सिसृतं जीवसे नऽआ नो गव्यूतिमुक्षतं घृतेन। आ मा जने श्रवयतं युवाना श्रुतं मे मित्रावरुणा हवेमा ॥९ ॥
1221	21.10	21	10	1221	शन्नो भवन्तु वाजिनो हवेषु देवताता मितद्रवः स्वर्काः। जम्भयन्तोऽहिं वृकꣳ रक्षासि सनेम्यस्मद्युयवन्नमीवाः ॥१० ॥
1222	21.11	21	11	1222	वाजेवाजेऽवत वाजिनो नो धनेषु विप्राऽअमृताऽऋतज्ञाः। अस्य मध्वः पिबत मादयध्वं तृप्ता यात पथिभिर्देवयानैः ॥११ ॥
1223	21.12	21	12	1223	समिद्धोऽअग्निः समिधा सुसमिद्धो वरेण्यः। गायत्री छन्दऽइन्द्रियं त्र्यविर्गौर्वयो दधुः ॥१२ ॥
1224	21.13	21	13	1224	तनूनपाच्छुचिव्रतस्तनूपाश्च सरस्वती। उष्णिहा छन्दऽइन्द्रियं दित्यवाड् गौर्वयो दधुः ॥१३ ॥
1225	21.14	21	14	1225	इडाभिरग्निरीड्यः सोमो देवोऽअमर्त्यः। अनुष्टुप् छन्दऽइन्द्रियं पञ्चाविगौर्वयो दधुः ॥१४ ॥
1226	21.15	21	15	1226	सुबर्हिरग्निः पूषण्वान्त्स्तीर्णबर्हिरमर्त्यः। बृहती छन्दऽइन्द्रियं त्रिवत्सो गौर्वयो दधुः ॥१५ ॥
1227	21.16	21	16	1227	दुरो देवीर्दिशो महीर्ब्रह्मा देवो बृहस्पतिः। पङ्क्तिश्छन्दऽइहेन्द्रियं तुर्य्यवाड् गौर्वयो दधुः ॥१६ ॥
1228	21.17	21	17	1228	उषे यह्वी सुपेशसा विश्वे देवाऽअमर्त्याः। त्रिष्टुप् छन्दऽइहेन्द्रियं पष्ठवाड् गौर्वयो दधुः ॥१७ ॥
1229	21.18	21	18	1229	दैव्या होतारा भिषजेन्द्रेण सयुजा युजा। जगती छन्दऽइन्द्रियमनड्वान् गौर्वयो दधुः ॥१८ ॥
1230	21.19	21	19	1230	तिस्रऽइडा सरस्वती भारती मरुतो विशः। विराट्छन्दऽइहेन्द्रियं धेनुर्गौर्न वयो दधुः ॥१९ ॥
1231	21.20	21	20	1231	त्वष्टा तुरीपोऽअद्भुतऽइन्द्राग्नी पुष्टिवर्धना। द्विपदा छन्दऽइन्द्रियमुक्षा गौर्न वयो दधुः ॥२० ॥
1232	21.21	21	21	1232	शमिता नो वनस्पतिः सविता प्रसुवन् भगम्। ककुप् छन्दऽइहेन्द्रियं वशा वेहद्वयो दधुः ॥२१ ॥
1233	21.22	21	22	1233	स्वाहा यज्ञं वरुणः। सुक्षत्रो भेषजं करत्। अतिच्छन्दाऽइन्द्रियं बृहदृषभो गौर्वयो दधुः ॥२२ ॥
1234	21.23	21	23	1234	वसन्तेनऽऋतुना देवा वसवस्त्रिवृता स्तुताः। रथन्तरेण तेजसा हविरिन्द्रे वयो दधुः ॥२३ ॥
1235	21.24	21	24	1235	ग्रीष्मेणऽऋतुना देवा रुद्राः पञ्चदशे स्तुताः। बृहता यशसा बलꣳहविरिन्द्रे वयो दधुः ॥२४ ॥
1236	21.25	21	25	1236	वर्षाभिर्ऋतुनादित्या स्तोमे सप्तदशे स्तुताः। वैरूपेण विशौजसा हविरिन्द्रे वयो दधुः ॥२५ ॥
1237	21.26	21	26	1237	शारदेनऽऋतुना देवाऽएकविꣳशऽऋभव स्तुताः। वैराजेन श्रिया श्रियꣳ हविरिन्द्रे वयो दधुः ॥२६ ॥
1238	21.27	21	27	1238	हेमन्तेनऽऋतुना देवास्त्रिणवे मरुत स्तुताः। बलेन शक्वरीः सहो हविरिन्द्रे वयो दधुः ॥२७ ॥
1239	21.28	21	28	1239	शैशिरेणऽऋतुना देवास्त्रयस्त्रिꣳशेऽमृता स्तुताः। सत्येन रेवतीः क्षत्रꣳ हविरिन्द्रे वयो दधुः ॥२८ ॥
1240	21.29	21	29	1240	होता यक्षत्समिधाऽग्निमिडस्पदेऽश्विनेन्द्रꣳ सरस्वतीमजो धूम्रो न गोधूमैः कुवलैर्भेषजं मधु शष्पैर्न तेजऽइन्द्रियं पयः सोमः परिस्रुता घृतं मधु व्यन्त्वाज्यस्य होतर्यज ॥२९ ॥
1241	21.30	21	30	1241	होता यक्षत्तनूनपात्सरस्वतीमविर्मेषो न भेषजं पथा मधुमता भरन्नश्विनेन्द्राय वीर्यं बदरैरुपवाकाभिर्भेषजं तोक्मभिः पयः सोमः परिस्रुता घृतं मधु व्यन्त्वाज्यस्य होतर्यज ॥३० ॥
1242	21.31	21	31	1242	होता यक्षन्नराशꣳसं न नग्नहुं पतिꣳ सुरया भेषजं मेषः सरस्वती भिषग्रथो न चन्द्र्यश्विनोर्वपा इन्द्रस्य वीर्यं बदरैरुपवाकाभिर्भेषजं तोक्मभिः पयः सोमः परिस्रुता घृतं मधु व्यन्त्वाज्यस्य होतर्यज ॥३१ ॥
1243	21.32	21	32	1243	होता यक्षदिडेडितऽआ जुह्वानः सरस्वतीमिन्द्रं बलेन वर्धयन्नृषभेण गवेन्द्रियमश्विनेन्द्राय भेषजं यवैः कर्कन्धुभिर्मधु लाजैर्न मासरं पयः सोमः परिस्रुता घृतं मधु व्यन्त्वाज्यस्य होतर्यज ॥३२ ॥
1244	21.33	21	33	1244	होता यक्षद् बर्हिरूर्णम्रदा भिषङ् नासत्या भिषजाश्विनाश्वा शिशुमती भिषग्धेनुः सरस्वती भिषग्दुहऽइन्द्राय भेषजं पयः सोमः परिस्रुता घृतं मधु व्यन्त्वाज्यस्य होतर्यज ॥३३ ॥
1245	21.34	21	34	1245	होता यक्षद् दुरो दिशः कवष्यो न व्यचस्वतीरश्विभ्यां न दुरो दिशऽइन्द्रो न रोदसी दुघे दुहे धेनुः सरस्वत्यश्विनेन्द्राय भेषजꣳ शुक्रं न ज्योतिरिन्द्रियं पयः सोमः परिस्रुता घृतं मधु व्यन्त्वाज्यस्य होतर्यज ॥३४ ॥
1246	21.35	21	35	1246	होता यक्षत्सुपेशसोषे नक्तं दिवाश्विना समञ्जाते सरस्वत्या त्विषिमिन्द्रे न भेषजꣳ श्येनो न रजसा हृदा श्रिया न मासरं पयः सोमः परिस्रुता घृतं मधु व्यन्त्वाज्यस्य होतर्यज ॥३५ ॥
1247	21.36	21	36	1247	होता यक्षद् दैव्या होतारा भिषजाश्विनेन्द्रं न जागृवि दिवा नक्तं न भेषजैः शूषꣳ सरस्वती भिषक्सीसेन दुहऽइन्द्रियं पयः सोमः परिस्रुता घृतं मधु व्यन्त्वाज्यस्य होतर्यज ॥३६ ॥
1248	21.37	21	37	1248	होता यक्षत्तिस्रो देवीर्न भेषजं त्रयस्त्रिधातवोऽपसो रूपमिन्द्रे हिरण्ययमश्विनेडा न भारती वाचा सरस्वती महऽइन्द्राय दुहऽइन्द्रियं पयः सोमः परिस्रुता घृतं मधु व्यन्त्वाज्यस्य होतर्यज ॥३७ ॥
1249	21.38	21	38	1249	होता यक्षत्सुरेतसमृषभं नर्यापसं त्वष्टारमिन्द्रमश्विना भिषजं न सरस्वतीमोजो न जूतिरिन्द्रियं वृको न रभसो भिषग्यशः सुरया भेषजꣳ श्रिया न मासरं पयः सोमः परिस्रुता घृतं मधु व्यन्त्वाज्यस्य होतर्यज ॥३८ ॥
1250	21.39	21	39	1250	होता यक्षद् वनस्पतिꣳ शमितारꣳ शतक्रतुं भीमं न मन्युꣳ राजानं व्याघ्रं नमसाश्विना भामꣳ सरस्वती भिषगिन्द्राय दुहऽइन्द्रियं पयः सोमः परिस्रुता घृतं मधु व्यन्त्वाज्यस्य होतर्यज ॥३९ ॥
1251	21.40	21	40	1251	होता यक्षदग्नि स्वाहाज्यस्य स्तोकाना स्वाहा मेदसां पृथक्स्वाहा छागमश्विभ्या स्वाहा मेषꣳ सरस्वत्यै स्वाहऽऋषभमिन्द्राय सिꣳहाय सहसऽइन्द्रियꣳ स्वाहाग्निं न भेषजꣳ स्वाहा सोममिन्द्रियꣳ स्वाहेन्द्रꣳ सुत्रामाणꣳ सवितारं वरुणं भिषजां पतिꣳ स्वाहा वनस्पतिं प्रियं पाथो न भेषजꣳ स्वाहा देवाऽआज्यपा जुषाणोऽअग्निर्भेषजं पयः सोमः परिस्रुता घृतं मधु व्यन्त्वाज्यस्य होतर्यज ॥४० ॥
1252	21.41	21	41	1252	होता यक्षदश्विनौ छागस्य वपाया मेदसो जुषेता हविर्होतर्यज। होता यक्षत्सरस्वतीं मेषस्य वपाया मेदसो जुषता हविर्होतर्यज। होता यक्षदिन्द्रमृषभस्य वपाया मेदसो जुषता हविर्होतर्यज ॥४१ ॥
1253	21.42	21	42	1253	होता यक्षदश्विनौ सरस्वतीमिन्द्रꣳ सुत्रामाणमिमे सोमाः सुरामाणश्छागैर्न मेषैर्ऋषभैः सुताः शष्पैर्न तोक्मभिर्लाजैर्महस्वन्तो मदा मासरेण परिष्कृताः शुक्राः पयस्वन्तोऽमृताः प्रस्थिता वो मधुश्चुतस्तानश्विना सरस्वतीन्द्रः सुत्रामा वृत्रहा जुषन्ता सोम्यं मधु पिबन्तु मदन्तु व्यन्तु होतर्यज ॥४२ ॥
1254	21.43	21	43	1254	होता यक्षदश्विनौ छागस्य हविषऽआत्तामद्य मध्यतो मेदऽउद्भृतं पुरा द्वेषोभ्यः पुरा पौरुषेय्या गृभो घस्तां नूनं घासेऽअज्राणां यवसप्रथमाना सुमत्क्षराणा शतरुद्रियाणामग्निष्वात्तानां पीवोपवसनानां पार्श्वतः श्रोणितः शितामतऽउत्सादतोऽङ्गादङ्गादवत्तानां करतऽएवाश्विना जुषेता हविर्होतर्यज ॥४३ ॥
1255	21.44	21	44	1255	होता यक्षत्सरस्वतीं मेषस्य हविषऽआवयदद्य मध्यतो मेदः उद्भृतं पुरा द्वेषोभ्यः पुरा पौरुषेय्या गृभो घसन्नूनं घासेऽअज्राणां यवसप्रथमाना सुमत्क्षराणा शतरुद्रियाणामग्निष्वात्तानां पीवोपवसनानां पार्श्वतः श्रोणितः शितामतऽउत्सादतोऽङ्गादङ्गादवत्तानां करदेवꣳ सरस्वती जुषता हविर्होतर्यज ॥४४ ॥
1256	21.45	21	45	1256	होता यक्षदिन्द्रमृषभस्य हविषऽआवयदद्य मध्यतो मेदऽउद्भृतं पुरा द्वेषोभ्यः पुरा पौरुषेय्या गृभो घसन्नूनं घासेऽअज्राणां यवसप्रथमाना सुमत्क्षराणा शतरुद्रियाणामग्निष्वात्तानां पीवोपवसनानां पार्श्वतः श्रोणितः शितामतऽउत्सादतोऽङ्गादङ्गादवत्तानां करदेवमिन्द्रो जुषता हविर्होतर्यज ॥४५ ॥
1257	21.46	21	46	1257	होता यक्षद् वनस्पतिमभि हि पिष्टतमया रभिष्ठया रशनयाधित। यत्राश्विनोश्छागस्य हविषः प्रिया धामानि यत्र सरस्वत्या मेषस्य हविषः प्रिया धामानि यत्रेन्द्रस्यऽऋषभस्य हविषः प्रिया धामानि यत्राग्नेः प्रिया धामानि यत्र सोमस्य प्रिया धामानि यत्रेन्द्रस्य सुत्राम्णः प्रिया धामानि यत्र सवितुः प्रिया धामानि यत्र वरुणस्य प्रिया धामानि यत्र वनस्पतेः प्रिया पाथासि यत्र देवानामाज्यपानां प्रिया धामानि यत्राग्नेर्होतुः प्रिया धामानि तत्रैतान् प्रस्तुत्येवोपस्तुत्येवोपावस्रक्षद् रभीयसऽइव कृत्वी करदेवं देवो वनस्पतिर्जुषता हविर्होतर्यज ॥४६ ॥
1258	21.47	21	47	1258	होता यक्षदग्निꣳ स्विष्टकृतमयाडग्निरश्विनोश्छागस्य हविषः प्रिया धामान्ययाट्सरस्वत्या मेषस्य हविषः प्रिया धामान्ययाडिन्द्रस्यऽऋषभस्य हविषः प्रिया धामान्ययाडग्नेः प्रिया धामान्ययाट्सोमस्य प्रिया धामान्ययाडिन्द्रस्य सुत्राम्णः प्रिया धामान्ययाट्सवितुः प्रिया धामान्ययाड् वरुणस्य प्रिया धामान्ययाड् वनस्पतेः प्रिया पाथास्ययाड् देवानामाज्यपानां प्रिया धामानि यक्षदग्नेर्होतुः प्रिया धामानि यक्षत्स्वं महिमानमायजतामेज्याऽइषः कृणोतु सोऽअध्वरा जातवेदा जुषता हविर्होतर्यज ॥४७ ॥
1259	21.48	21	48	1259	देवं बर्हिः सरस्वती सुदेवमिन्द्रेऽअश्विना। तेजो न चक्षुरक्ष्योर्बर्हिषा दधुरिन्द्रियं वसुवने वसुधेयस्य व्यन्तु यज ॥४८ ॥
1260	21.49	21	49	1260	देवीर्द्वारोऽअश्विना भिषजेन्द्रे सरस्वती। प्राणं न वीर्य्यं नसि द्वारो दधुरिन्द्रियं वसुवने वसुधेयस्य व्यन्तु यज ॥४९ ॥
1261	21.50	21	50	1261	देवीऽउषासावश्विना सुत्रामेन्द्रे सरस्वती। बलं न वाचमास्यऽउषाभ्यां दधुरिन्द्रियं वसुवने वसुधेयस्य व्यन्तु यज ॥५० ॥
1262	21.51	21	51	1262	देवी जोष्ट्री सरस्वत्यश्विनेन्द्रमवर्धयन्। श्रोत्रं न कर्णयोर्यशो जोष्ट्रीभ्यां दधुरिन्द्रियं वसुवने वसुधेयस्य व्यन्तु यज ॥५१ ॥
1263	21.52	21	52	1263	देवीऽऊर्जाहुती दुघे सुदुघेन्द्रे सरस्वत्यश्विना भिषजावतः। शुक्रं न ज्योति स्तनयोराहुती धत्तऽइन्द्रियं वसुवने वसुधेयस्य व्यन्तु यज ॥५२ ॥
1264	21.53	21	53	1264	देवा देवानां भिषजा होताराविन्द्रमश्विना। वषट्कारैः सरस्वती त्विषिं न हृदये मतिꣳ होतृभ्यां दधुरिन्द्रियं वसुवने वसुधेयस्य व्यन्तु यज ॥५३ ॥
1265	21.54	21	54	1265	देवीस्तिस्रस्तिस्रो देवीरश्विनेडा सरस्वती। शूषं न मध्ये नाभ्यामिन्द्राय दधुरिन्द्रियं वसुवने वसुधेयस्य व्यन्तु यज ॥५४ ॥
1266	21.55	21	55	1266	देवऽइन्द्रो नराशꣳसस्रिवरूथः सरस्वत्याश्विभ्यामीयते रथः। रेतो न रूपममृतं जनित्रमिन्द्राय त्वष्टा दधदिन्द्रियाणि वसुवने वसुधेयस्य व्यन्तु यज ॥५५ ॥
1267	21.56	21	56	1267	देवो देवैर्वनस्पतिर्हिरण्यपर्णोऽअश्विभ्या सरस्वत्या सुपिप्पलऽइन्द्राय पच्यते मधु। ओजो न जूतिर्ऋषभो न भामं वनस्पतिर्नो दधदिन्द्रियाणि वसुवने वसुधेयस्य व्यन्तु यज ॥५६ ॥
1268	21.57	21	57	1268	देवं बर्हिर्वारितीनामध्वरे स्तीर्णमश्विभ्यामूर्णम्रदाः सरस्वत्या स्योनमिन्द्र ते सदः। ईशायै मन्युꣳ राजानं बर्हिषा दधुरिन्द्रियं वसुवने वसुधेयस्य व्यन्तु यज ॥५७ ॥
1269	21.58	21	58	1269	देवोऽअग्निः स्विष्टकृद्देवान् यक्षद् यथायथꣳ होताराविन्द्रमश्विना वाचा वाचꣳ सरस्वतीमग्निꣳ सोम स्विष्टकृत्स्विष्टऽइन्द्रः सुत्रामा सविता वरुणो भिषगिष्टो देवो वनस्पतिः स्विष्टा देवाऽआज्यपाः स्विष्टोऽअग्निरग्निना होता होत्रे स्विष्टकृद् यशो न दधदिन्द्रियमूर्जमपचिति स्वधां वसुवने वसुधेयस्य व्यन्तु यज ॥५८ ॥
1270	21.59	21	59	1270	अग्निमद्य होतारमवृणीतायं यजमानः पचन् पक्तीः पचन् पुरोडाशान् बध्नन्नश्विभ्यां छागꣳ सरस्वत्यै मेषमिन्द्रायऽऋषभꣳ सुन्वन्नश्विभ्या सरस्वत्याऽइन्द्राय सुत्राम्णे सुरासोमान् ॥५९ ॥
1271	21.60	21	60	1271	सूपस्थाऽअद्य देवो वनस्पतिरभवदश्विभ्यां छागेन सरस्वत्यै मेषेणेन्द्रायऽऋषभेणाक्षँस्तान् मेदस्तः प्रति पचतागृभीषतावीवृधन्त पुरोडाशैरपुरश्विना सरस्वतीन्द्रः सुत्रामा सुरासोमान् ॥६० ॥
